dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
03M334,THE ANDERSON SCHOOL,20082009,5.2,518,0.2,1.2,23.0,8.7,9.7,58.3,47.7,52.3,,,,,,,
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & V,20082009,76.6,606,5.1,14.2,0.8,66.3,32.0,0.2,48.2,51.8,61.0,37.1,4.4,32.7,23.9,27.7,1.3
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,20082009,68.6,2249,31.7,10.3,2.0,28.6,67.5,1.4,48.8,51.2,32.4,18.3,3.0,15.3,14.1,38.0,25.7
03M479,BEACON HIGH SCHOOL,20082009,15.1,1130,0.4,5.0,6.6,15.0,21.2,54.1,40.2,59.8,85.5,74.4,0.0,74.4,11.0,12.8,1.8
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART,20082009,15.0,2501,0.2,1.1,19.4,16.5,17.7,46.0,24.9,75.1,95.4,94.3,62.7,31.6,1.1,4.2,0.3
09X215,KAPPA,20082009,71.0,372,9.4,6.7,4.6,44.4,50.5,0.5,46.2,53.8,,,,,,,
03M492,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTI,20082009,65.7,486,12.3,15.2,3.1,47.5,45.3,2.7,41.6,58.4,57.5,34.9,4.7,30.2,22.6,21.7,19.8
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,20082009,71.6,605,9.4,16.0,3.5,37.4,55.5,2.1,66.3,33.7,59.4,40.0,6.5,33.5,19.4,20.0,20.0
03M505,EDWARD A.REYNOLDS WEST SIDE HIGH  SCHOOL,20082009,68.1,605,6.4,15.7,0.8,35.7,61.7,1.3,44.1,55.9,24.4,3.6,0.0,3.6,20.8,57.4,16.8
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,20082009,49.3,435,1.4,3.2,29.0,22.1,38.6,9.7,46.0,54.0,93.2,88.9,35.0,53.8,4.3,6.0,0.9
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,20082009,57.1,462,2.8,18.2,0.4,78.8,20.8,0.0,53.9,46.1,71.6,58.2,17.9,40.3,13.4,20.9,7.5
03M862,MOTT HALL II,20082009,43.7,291,3.1,16.2,5.5,28.2,47.1,18.6,51.2,48.8,,,,,,,
04M007,PS 007 SAMUEL STERN,20082009,86.4,431,12.1,12.5,1.9,31.6,65.4,0.5,49.4,50.6,,,,,,,
04M012,TAG YOUNG SCHOLARS,20082009,47.9,464,0.0,1.1,9.9,56.3,30.0,2.8,38.8,61.2,,,,,,,
04M013,JHS 013 JACKIE ROBINSON,20082009,75.3,299,12.7,32.4,1.3,39.8,56.5,1.3,52.2,47.8,,,,,,,
04M037,RIVER EAST,20082009,60.2,157,10.8,29.3,0.0,51.6,45.2,0.0,45.2,54.8,,,,,,,
04M038,PS 38 ROBERTO CLEMENTE,20082009,77.8,346,11.0,24.9,3.2,26.9,65.6,3.8,49.1,50.9,,,,,,,
04M045,JHS 045 JOHN C ROBERTS,20082009,89.7,385,23.4,26.2,0.8,34.5,63.6,0.3,48.3,51.7,,,,,,,
04M050,PS 050 VITO MARCANTONIO,20082009,85.9,486,9.5,27.4,2.1,38.3,57.4,1.4,55.3,44.7,,,,,,,
04M057,JAMES WELDON JOHNSON,20082009,89.7,742,19.3,20.5,4.7,21.4,70.9,1.8,50.3,49.7,,,,,,,
04M072,PS 072,20082009,88.0,568,22.9,24.3,1.6,9.5,87.5,0.9,51.8,48.2,,,,,,,
04M083,PS 083 LUIS MUNOZ RIVERA,20082009,88.2,436,4.8,10.8,7.6,32.3,54.1,2.8,51.1,48.9,,,,,,,
04M096,PS 096 JOSEPH LANZETTA,20082009,93.7,624,7.1,16.7,0.2,25.6,71.6,1.6,49.2,50.8,,,,,,,
04M101,PS 101 ANDREW DRAPER,20082009,89.7,133,7.5,41.4,0.8,37.6,57.1,1.5,46.6,53.4,,,,,,,
04M102,PS 102 JACQUES CARTIER,20082009,89.3,326,15.6,36.5,1.5,29.1,67.5,1.8,54.9,45.1,,,,,,,
04M108,PS 108 ASSMBLY ANGELO DEL TORO,20082009,87.3,744,11.6,16.1,2.4,31.9,64.2,0.5,50.8,49.2,,,,,,,
04M112,PS 112 JOSE CELSO BARBOSA,20082009,85.8,337,20.5,32.3,1.8,31.5,59.6,3.0,57.9,42.1,,,,,,,
04M117,TITO PUENTE EDUCATION COMPLEX,20082009,91.4,251,15.9,25.9,0.4,33.1,62.9,2.0,55.8,44.2,,,,,,,
04M146,PS 146 ANN M SHORT,20082009,94.5,475,18.3,42.5,2.9,25.3,69.7,1.9,56.6,43.4,,,,,,,
04M155,PS 155 WILLIAM PACA,20082009,93.4,406,41.1,24.9,1.2,17.2,79.6,2.0,53.9,46.1,,,,,,,
04M171,PS 171 PATRICK HENRY,20082009,78.8,651,5.2,12.9,3.5,34.9,59.8,1.7,48.2,51.8,,,,,,,
04M182,THE BILINGUAL BICULTURAL SCHL,20082009,97.2,428,25.0,9.1,0.5,7.7,90.0,0.5,48.8,51.2,,,,,,,
04M206,PS 206 JOSE CELSO BABOSA,20082009,88.0,253,16.6,29.6,2.4,30.0,65.6,1.2,56.9,43.1,,,,,,,
04M224,MS 224 MANH. E.SCHOOL. ARTS&ACAD,20082009,35.0,274,3.3,10.6,7.7,28.8,46.4,16.4,45.6,54.4,,,,,,,
04M372,ESPERANZA PREPATORY ACADEMY,20082009,60.0,110,29.1,45.5,1.8,25.5,71.8,0.9,47.3,52.7,,,,,,,
04M375,MOSAIC PREPARATORY ACADEMY,20082009,89.7,328,14.3,25.3,3.0,29.9,64.3,0.9,54.3,45.7,,,,,,,
04M377,RENAISSANCE SCHOOL OF THE ARTS,20082009,60.0,67,11.9,37.3,3.0,49.3,46.3,1.5,53.7,46.3,,,,,,,
04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,20082009,60.0,86,9.3,36.0,2.3,48.8,47.7,1.2,62.8,37.2,,,,,,,
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,20082009,71.8,437,8.0,17.8,1.6,28.6,68.4,0.5,43.7,56.3,,,,,,,
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,20082009,63.5,1675,5.0,8.2,20.3,20.8,54.7,3.2,48.2,51.8,78.0,69.3,52.1,17.3,8.6,12.8,4.8
04M495,PARK EAST HIGH SCHOOL,20082009,77.7,375,6.7,14.7,1.6,41.1,53.3,2.4,40.3,59.7,79.2,40.3,1.4,38.9,38.9,16.7,4.2
04M497,CENTRAL PARK EAST I,20082009,42.4,201,0.5,15.4,5.0,44.3,21.4,21.4,44.8,55.2,,,,,,,
04M555,CENTRAL PARK EAST SECONDARY HIGH SCHOOL,20082009,70.4,328,7.9,16.2,3.7,35.7,57.0,3.0,46.6,53.4,52.2,26.9,0.0,26.9,25.4,32.8,11.9
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,20082009,63.3,423,1.2,5.9,3.1,35.7,57.4,1.2,0.0,100.0,94.1,80.4,15.7,64.7,13.7,5.9,0.0
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH,20082009,65.8,558,8.6,18.8,1.8,31.9,64.5,0.5,55.2,44.8,48.3,20.2,0.0,20.2,28.1,30.3,19.1
04M680,THE HERITAGE SCHOOL,20082009,69.9,342,5.6,23.7,0.6,28.7,68.4,2.0,52.3,47.7,57.6,30.5,6.8,23.7,27.1,27.1,11.9
04M695,URBAN PEACE ACADEMY,20082009,67.7,96,3.1,12.5,1.0,53.1,42.7,2.1,39.6,60.4,59.1,25.0,0.0,25.0,34.1,20.5,15.9
04M825,ISAAC NEWTON JHS FOR SCIENCE & MATH,20082009,68.5,334,6.6,15.9,2.1,22.2,73.7,0.3,53.0,47.0,,,,,,,
04M964,CENTRAL PARK EAST II,20082009,61.1,196,2.6,27.0,1.5,54.1,26.0,12.8,53.1,46.9,,,,,,,
05M030,PS 030 HERNANDEZ/HUGHES,20082009,75.6,371,9.7,30.7,0.5,56.3,39.6,2.2,52.0,48.0,,,,,,,
05M036,PS 036 MARGARET DOUGLAS,20082009,69.9,503,13.3,17.1,1.8,53.5,41.7,2.0,48.7,51.3,,,,,,,
05M046,PS 046 ARTHUR TAPPAN,20082009,92.6,710,8.9,13.8,0.1,57.2,40.7,1.3,50.8,49.2,,,,,,,
05M092,PS 092 MARY MCLEOD BETHUNE,20082009,73.7,310,13.9,25.8,2.6,71.9,23.9,1.0,50.3,49.7,,,,,,,
05M123,PS 123 MAHALIA JACKSON,20082009,79.9,552,16.1,16.5,0.4,63.6,35.0,0.9,46.0,54.0,,,,,,,
05M125,PS 125 RALPH BUNCHE,20082009,80.4,393,11.5,22.6,2.0,62.3,33.1,1.0,53.4,46.6,,,,,,,
05M129,PS 129 JOHN H FINLEY,20082009,73.1,523,7.1,18.7,0.8,51.1,46.5,0.4,49.5,50.5,,,,,,,
05M133,PS 133 FRED R MOORE,20082009,76.8,322,7.5,22.4,2.5,72.0,22.7,2.5,50.0,50.0,,,,,,,
05M154,PS 154 HARRIET TUBMAN,20082009,82.9,413,11.1,19.4,1.7,69.2,25.7,1.9,51.3,48.7,,,,,,,
05M161,PS 161 PEDRO ALBIZU CAMPOS,20082009,93.0,797,33.1,13.2,1.3,13.6,82.6,2.4,51.3,48.7,,,,,,,
05M172,POWELL MS FOR LAW & SOC JUSTIC,20082009,66.3,111,11.7,40.5,0.9,55.0,41.4,2.7,67.6,32.4,,,,,,,
05M175,PS 175 HENRY H GARNET,20082009,68.6,350,5.7,10.9,2.6,74.9,19.1,1.1,49.4,50.6,,,,,,,
05M194,PS 194 COUNTEE CULLEN,20082009,92.5,280,12.5,21.1,0.4,71.8,25.4,1.1,52.1,47.9,,,,,,,
05M195,I S 195 ROBERTO CLEMENTE,20082009,82.9,634,19.1,22.9,0.3,43.2,55.0,1.1,53.0,47.0,,,,,,,
05M197,PS 197 JOHN B RUSSWURM,20082009,74.9,490,5.5,20.4,0.4,69.0,28.4,1.6,54.9,45.1,,,,,,,
05M200,PS 200 JAMES M SMITH,20082009,67.8,634,13.2,17.7,0.6,66.4,29.7,1.7,53.9,46.1,,,,,,,
05M285,HARLEM RENAISSANCE HIGH SCHOOL,20082009,68.2,180,0.0,7.8,0.0,64.4,32.8,1.7,50.6,49.4,3.9,1.3,0.0,1.3,2.6,67.5,28.6
05M286,IS 286 RENAISSANCE MIL/LDRSHP,20082009,92.1,206,8.3,17.5,1.5,52.4,45.6,0.0,51.9,48.1,,,,,,,
05M302,KAPPA IV,20082009,72.9,280,5.0,11.1,0.4,44.3,53.9,0.7,45.0,55.0,,,,,,,
05M304,MOTT HALL HIGH SCHOOL,20082009,61.3,405,5.9,14.1,0.5,37.3,60.0,2.2,49.4,50.6,64.7,62.4,3.5,58.8,2.4,31.8,3.5
05M317,KAPPA II,20082009,74.9,193,4.7,21.2,1.0,74.1,23.8,0.5,56.5,43.5,,,,,,,
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,20082009,62.6,179,0.0,3.4,0.0,92.7,4.5,0.6,53.6,46.4,,,,,,,
05M344,ACADEMY OF COLLABORATIVE EDUCATION,20082009,78.6,254,7.5,13.4,0.8,76.8,22.0,0.0,60.2,39.8,,,,,,,
05M362,COLUMBIA SECONDARY SCHOOL,20082009,35.1,192,0.0,1.0,6.8,16.7,50.5,23.4,50.0,50.0,,,,,,,
05M367,ACADEMY FOR SOCIAL ACTION,20082009,68.5,316,8.9,18.4,0.3,62.3,36.4,0.6,46.2,53.8,,,,,,,
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,20082009,68.8,218,1.8,12.8,0.5,62.4,35.3,0.9,18.8,81.2,,,,,,,
05M469,CHOIR ACADEMY OF HARLEM,20082009,66.3,387,3.6,12.1,0.0,76.7,21.7,0.5,34.6,65.4,62.1,29.3,3.4,25.9,32.8,32.8,5.2
05M499,FREDERICK DOUGLASS ACADEMY,20082009,53.4,1520,1.0,5.5,1.4,73.4,24.5,0.5,48.7,51.3,67.8,64.9,20.2,44.7,2.9,26.9,5.3
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIA,20082009,63.7,583,2.1,9.6,1.5,71.0,26.1,0.9,46.1,53.9,73.9,42.0,0.0,42.0,31.8,17.0,3.4
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,20082009,62.6,526,12.0,17.7,0.4,50.8,48.1,0.4,47.9,52.1,47.3,31.9,0.0,31.9,15.4,35.2,15.4
05M692,HIGH SCHOOL FOR MATHEMATICS SCI AND ENGINEERING,20082009,18.5,449,0.4,1.3,25.8,16.9,29.8,20.9,64.1,35.9,98.3,98.3,86.4,11.9,0.0,1.7,0.0
06M004,PS 004 DUKE ELLINGTON,20082009,93.1,695,42.9,16.5,0.1,10.2,88.1,0.7,49.6,50.4,,,,,,,
06M005,PS 005 ELLEN LURIE,20082009,90.7,802,46.3,15.8,0.2,6.2,92.8,0.6,51.1,48.9,,,,,,,
06M008,PS 008 LUIS BELLIARD,20082009,93.0,580,46.2,16.6,0.5,5.2,94.1,0.2,51.6,48.4,,,,,,,
06M018,PS 018 PARK TERRACE EARLY CHIL,20082009,86.3,392,44.1,10.2,0.5,0.5,98.0,0.8,45.4,54.6,,,,,,,
06M028,PS 028 WRIGHT BROTHERS,20082009,90.7,916,46.7,12.6,0.4,15.2,83.3,0.9,53.3,46.7,,,,,,,
06M048,PS 048 PO MICHAEL J. BUCZEK,20082009,84.8,538,42.6,20.3,1.1,3.2,92.4,2.4,53.7,46.3,,,,,,,
06M052,JHS 052 INWOOD,20082009,85.0,919,29.5,16.0,0.4,2.7,96.2,0.5,52.1,47.9,,,,,,,
06M098,PS 098 SHORAC KAPPOCK,20082009,97.2,613,50.9,13.7,1.0,1.6,96.2,1.0,49.9,50.1,,,,,,,
06M115,PS 115 ALEXANDER HUMBOLDT,20082009,96.2,778,37.0,14.3,0.3,2.3,96.1,1.2,51.9,48.1,,,,,,,
06M128,PS 128 AUDUBON,20082009,89.6,782,38.4,15.9,1.3,5.0,92.8,0.9,49.9,50.1,,,,,,,
06M132,PS 132 JUAN PABLO DUARTE,20082009,92.3,852,54.6,18.7,0.8,0.7,97.1,0.8,53.5,46.5,,,,,,,
06M143,JHS 143 ELEANOR ROOSEVELT,20082009,84.4,694,30.8,17.3,0.6,2.2,96.7,0.6,57.5,42.5,,,,,,,
06M152,PS 152 DYCKMAN VALLEY,20082009,84.4,864,32.2,16.2,0.2,1.2,97.8,0.7,48.3,51.7,,,,,,,
06M153,PS 153 ADAM CLAYTON POWELL,20082009,90.0,1001,33.3,10.2,0.2,18.0,78.8,2.1,48.6,51.4,,,,,,,
06M173,PS 173,20082009,83.4,746,31.4,9.4,1.6,3.2,91.7,2.9,51.5,48.5,,,,,,,
06M178,PROF. JUAN BOSCH PUBLIC SCHOOL,20082009,68.1,235,23.8,24.7,0.9,5.1,76.6,16.2,53.6,46.4,,,,,,,
06M187,PS 187 HUDSON CLIFFS,20082009,60.4,769,9.8,11.7,5.2,2.1,60.5,31.2,49.3,50.7,,,,,,,
06M189,PS 189,20082009,74.7,1057,43.8,11.0,0.1,0.7,98.7,0.6,49.5,50.5,,,,,,,
06M192,PS 192 JACOB H SCHIFF,20082009,93.5,437,38.9,16.5,0.7,6.4,91.8,0.9,54.7,45.3,,,,,,,
06M210,PS 210 21ST CENT ACAD,20082009,91.4,419,43.9,13.1,0.0,2.6,96.4,0.7,51.1,48.9,,,,,,,
06M218,I S 218 SALOME UKENA,20082009,76.0,442,34.8,17.0,0.5,2.9,96.2,0.5,55.2,44.8,,,,,,,
06M223,I S 223 MOTT HALL,20082009,62.0,420,0.0,1.7,4.8,4.8,86.4,4.0,44.3,55.7,,,,,,,
06M278,P.S./I.S. 278,20082009,76.6,477,23.5,18.2,1.0,4.2,88.1,6.3,54.7,45.3,,,,,,,
06M293,CITY COLLEGE ACADEMY OF THE ARTS,20082009,73.0,327,12.8,18.3,1.8,4.6,92.4,1.2,44.3,55.7,,,,,,,
06M311,AMISTAD DUAL LANGUAGE SCHOOL,20082009,63.6,416,21.9,12.7,2.4,1.2,85.8,9.6,46.4,53.6,,,,,,,
06M314,MUSCOTA,20082009,45.8,276,18.8,16.7,5.1,6.2,67.4,20.7,50.7,49.3,,,,,,,
06M319,MS 319  MARIA TERESA,20082009,92.1,484,29.8,17.1,0.0,8.9,90.5,0.6,55.2,44.8,,,,,,,
06M321,MS 321  MINERVA,20082009,81.1,303,29.7,14.5,1.3,14.5,82.5,1.0,50.5,49.5,,,,,,,
06M322,MIDDLE SCHOOL 322,20082009,82.5,468,30.8,15.2,0.0,3.4,95.3,1.3,59.0,41.0,,,,,,,
06M324,MS 324  PATRIA,20082009,86.0,371,32.1,18.9,0.0,11.9,87.3,0.5,51.8,48.2,,,,,,,
06M325,PS 325,20082009,89.7,480,40.8,16.5,1.3,4.2,92.7,1.5,55.8,44.2,,,,,,,
06M326,MS 326  WRITERS TODAY & LEADERS TOMORROW,20082009,83.5,379,36.1,20.8,0.0,19.3,80.7,0.0,60.4,39.6,,,,,,,
06M328,MS 328  MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC,20082009,94.0,471,38.0,17.0,1.7,9.8,87.7,0.8,59.4,40.6,,,,,,,
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,20082009,91.4,343,22.4,17.2,0.0,6.1,93.3,0.6,50.7,49.3,,,,,,,
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,20082009,95.7,331,20.2,16.0,0.0,1.5,97.6,0.6,55.0,45.0,,,,,,,
06M349,HARBOR HEIGHTS,20082009,85.5,158,93.7,3.8,0.0,0.0,100.0,0.0,50.0,50.0,,,,,,,
06M366,WASHINGTON HEIGHTS ACADEMY,20082009,44.5,133,19.5,7.5,5.3,2.3,75.2,16.5,51.1,48.9,,,,,,,
06M368,HAMILTON HEIGHTS SCHOOL,20082009,62.5,239,18.8,4.6,1.7,36.4,52.7,8.8,46.0,54.0,,,,,,,
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINAN,20082009,88.9,678,33.2,11.2,0.4,7.7,90.4,1.0,57.2,42.8,70.4,45.4,7.9,37.5,25.0,10.5,8.6
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,20082009,84.3,639,25.0,9.5,0.5,5.6,93.6,0.2,60.9,39.1,64.8,38.9,6.5,32.4,25.9,23.1,10.2
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,20082009,73.8,689,23.1,11.5,0.7,8.3,89.8,1.2,50.8,49.2,70.9,47.3,7.3,40.0,23.6,15.5,9.1
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,20082009,84.6,670,29.1,11.3,0.3,7.5,91.2,0.9,49.0,51.0,65.9,34.1,5.6,28.6,31.7,19.8,11.1
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,20082009,86.2,269,12.6,10.8,0.4,2.6,96.3,0.7,33.5,66.5,,,,,,,
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,20082009,62.8,1370,2.5,6.5,3.4,33.7,62.0,0.5,46.9,53.1,58.7,47.4,12.1,35.3,11.2,27.9,12.4
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MAT,20082009,88.0,409,87.3,0.0,0.0,0.0,100.0,0.0,44.3,55.7,79.0,40.7,4.9,35.8,38.3,11.1,9.9
07X001,PS 001 COURTLANDT SCHOOL,20082009,90.5,642,21.0,17.3,0.6,22.4,76.0,0.2,48.4,51.6,,,,,,,
07X005,PS 005 PORT MORRIS,20082009,88.8,585,22.6,17.4,0.7,29.9,66.8,0.7,52.1,47.9,,,,,,,
07X018,PS 018 JOHN PETER ZENGER,20082009,80.4,475,20.2,19.8,0.4,32.4,64.4,0.6,54.1,45.9,,,,,,,
07X025,PS 025 BILINGUAL SCHOOL,20082009,93.7,361,34.9,18.6,0.6,11.1,86.7,0.6,47.9,52.1,,,,,,,
07X029,PS 029 MELROSE SCHOOL,20082009,87.5,749,15.0,17.6,0.5,31.4,66.0,1.1,47.8,52.2,,,,,,,
07X030,PS 030 WILTON,20082009,91.7,512,26.0,19.7,0.4,19.1,79.5,0.2,54.1,45.9,,,,,,,
07X031,PS/MS 031 THE WILLIAM LLOYD GARRISON,20082009,91.6,775,10.8,19.1,3.6,27.7,65.8,1.2,48.3,51.7,,,,,,,
07X043,PS 043 JONAS BRONCK,20082009,95.8,501,13.6,14.4,0.4,25.9,72.9,0.2,51.5,48.5,,,,,,,
07X049,PS 049 WILLIS AVE,20082009,95.7,637,21.4,16.6,0.0,28.6,70.6,0.3,51.6,48.4,,,,,,,
07X065,PS 065 MOTHER HALE ACADEMY,20082009,90.0,420,11.0,19.5,0.7,28.1,68.3,1.2,53.8,46.2,,,,,,,
07X151,JHS 151 LOU GEHRIG,20082009,90.0,258,24.0,22.5,0.0,28.3,70.5,0.4,51.9,48.1,,,,,,,
07X154,PS 154 JONATHAN D HYATT,20082009,98.1,526,14.1,23.0,0.2,35.7,62.7,0.4,56.1,43.9,,,,,,,
07X157,PS 157 GROVE HILL,20082009,85.5,618,12.1,19.3,0.5,30.6,64.7,0.2,51.3,48.7,,,,,,,
07X161,PS 161 PONCE DE LEON,20082009,85.2,550,25.5,30.2,0.4,24.4,72.5,0.7,53.5,46.5,,,,,,,
07X162,JHS 162 LOLA RODRIGUEZ DE TIO,20082009,82.2,897,15.4,22.1,1.1,25.3,72.8,0.3,45.8,54.2,,,,,,,
07X179,PS 179,20082009,90.8,412,21.6,16.5,0.2,19.9,78.6,0.2,48.8,51.2,,,,,,,
07X203,MS 203,20082009,84.3,359,18.7,26.2,0.3,35.1,64.6,0.0,52.4,47.6,,,,,,,
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,20082009,72.9,590,6.1,18.5,1.2,33.9,63.7,0.7,46.1,53.9,73.2,33.8,2.8,31.0,39.4,12.7,9.9
07X223,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECH,20082009,87.6,450,9.3,14.0,0.9,26.2,72.4,0.0,51.1,48.9,,,,,,,
07X224,P.S./I.S. 224,20082009,93.8,356,26.4,22.8,1.4,26.1,71.3,1.1,53.4,46.6,,,,,,,
07X277,PS 277,20082009,86.4,544,21.1,18.9,0.7,22.6,74.3,0.6,53.3,46.7,,,,,,,
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,20082009,81.3,251,10.8,29.9,0.0,31.1,67.7,0.8,48.6,51.4,,,,,,,
07X298,ACADEMY OF PUBLIC RELATIONS,20082009,91.9,277,32.9,24.2,0.0,22.0,77.3,0.7,46.2,53.8,,,,,,,
07X321,CROTONA ACADEMY HIGH SCHOOL,20082009,65.1,146,6.8,8.2,2.7,44.5,52.1,0.7,37.0,63.0,12.8,8.5,0.0,8.5,4.3,76.59999999999998,10.6
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,20082009,94.3,257,87.5,2.3,3.1,26.1,65.0,5.4,57.6,42.4,,,,,,,
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,20082009,94.5,260,9.2,25.8,0.4,33.5,65.0,0.8,52.3,47.7,,,,,,,
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,20082009,94.1,292,22.6,13.7,0.0,16.8,79.5,2.1,50.0,50.0,,,,,,,
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,20082009,76.8,131,3.1,6.9,0.8,53.4,44.3,0.8,46.6,53.4,11.4,0.0,0.0,0.0,11.4,81.8,6.8
07X381,BRONX HAVEN HIGH SCHOOL,20082009,60.0,104,8.7,8.7,0.0,38.5,60.6,1.0,33.7,66.3,,,,,,,
07X385,PERFORMANCE SCHOOL,20082009,86.6,592,26.9,26.4,1.4,34.1,62.3,0.8,53.9,46.1,,,,,,,
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,20082009,86.6,347,6.9,17.6,0.0,40.1,57.3,1.4,41.5,58.5,72.09999999999998,25.6,0.0,25.6,46.5,14.0,12.8
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,20082009,82.5,333,9.6,16.8,0.9,26.4,72.4,0.0,51.4,48.6,76.8,30.4,0.0,30.4,46.4,17.4,5.8
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,20082009,78.6,432,3.9,7.6,1.2,21.8,75.7,1.2,42.6,57.4,,,,,,,
07X500,HOSTOSLINCOLN ACADEMY OF SCIENCE,20082009,64.7,517,5.8,12.8,2.5,27.3,69.8,0.4,43.9,56.1,85.0,68.2,44.9,23.4,16.8,12.1,2.8
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,20082009,77.8,491,10.4,17.1,2.4,23.2,72.3,1.2,44.2,55.8,64.6,42.7,3.1,39.6,21.9,16.7,10.4
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,20082009,68.2,453,11.0,17.9,1.1,37.7,58.9,0.9,51.0,49.0,70.7,49.5,9.1,40.4,21.2,20.2,7.1
07X547,NEW EXPLORERS HIGH SCHOOL,20082009,81.8,320,5.6,16.3,0.0,36.3,62.8,0.6,60.9,39.1,54.4,12.7,0.0,12.7,41.8,24.1,10.1
07X548,ACADEMY FOR CAREERS IN SPORTS,20082009,71.2,324,4.0,12.7,0.9,28.7,69.1,0.3,84.3,15.7,92.9,47.1,5.7,41.4,45.7,5.7,1.4
07X551,BRONX ACADEMY OF LETTERS,20082009,75.2,502,8.8,18.1,1.8,36.9,60.4,0.6,38.8,61.2,80.3,72.7,4.5,68.2,7.6,16.7,3.0
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,20082009,71.5,1176,9.3,18.5,2.6,34.0,62.5,0.5,89.2,10.8,33.3,22.9,14.9,8.0,10.4,30.1,35.3
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,20082009,71.4,1300,14.8,20.8,1.3,28.4,68.6,0.8,77.2,22.8,48.9,35.8,3.2,32.6,13.1,25.9,16.9
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,20082009,74.2,641,6.4,13.9,2.0,36.7,60.8,0.5,28.9,71.1,56.9,35.0,5.8,29.2,21.9,27.7,14.6
08X014,PS 014 SEN JOHN CALANDRA,20082009,47.2,560,6.1,20.5,4.1,7.5,56.3,31.4,56.8,43.2,,,,,,,
08X036,PS 036 UNIONPORT,20082009,78.6,666,12.0,17.9,18.3,16.1,62.2,1.8,48.9,51.1,,,,,,,
08X048,PS 048 JOSEPH R DRAKE,20082009,86.3,902,16.3,22.3,0.2,25.6,72.9,0.6,52.3,47.7,,,,,,,
08X062,PS 062 INOCENSIO CASANOVA,20082009,89.8,676,17.5,21.0,0.4,15.7,83.1,0.4,52.7,47.3,,,,,,,
08X069,PS 069 THE NEW VISION SCHOOL,20082009,85.1,590,10.8,19.3,2.9,20.8,73.4,1.9,50.7,49.3,,,,,,,
08X071,PS 071 ROSE E SCALA,20082009,45.3,1637,4.4,18.0,6.0,5.9,48.8,38.8,49.4,50.6,,,,,,,
08X072,PS 072 DR WILLIAM DORNEY,20082009,73.6,920,6.6,23.6,4.2,25.3,63.0,6.8,52.1,47.9,,,,,,,
08X075,PS 075,20082009,93.2,711,16.7,20.8,0.7,26.4,69.5,1.5,53.6,46.4,,,,,,,
