dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,20082009,45.2,183,1.6,29.5,4.4,34.4,50.3,10.4,33.9,66.1,,,,,,,
02M051,PS 051 ELIAS HOWE,20082009,65.6,319,19.1,19.1,12.2,11.3,60.2,13.5,52.7,47.3,,,,,,,
02M059,PS 059 BEEKMAN HILL INTL,20082009,19.2,447,11.0,15.4,13.4,7.2,18.3,57.0,50.3,49.7,,,,,,,
02M077,PS 77 LOWER LAB SCHOOL,20082009,7.3,340,0.0,12.6,15.3,3.2,11.2,68.5,47.9,52.1,,,,,,,
02M089,PS 89,20082009,6.4,547,4.4,15.7,19.9,5.5,9.1,54.7,50.8,49.2,,,,,,,
02M104,JHS 104 SIMON BARUCH,20082009,42.0,977,3.3,16.7,40.6,13.0,21.9,23.8,52.9,47.1,,,,,,,
02M111,PS 111 ADOLPH S OCHS,20082009,64.9,557,14.4,27.5,8.3,15.3,60.1,14.2,50.3,49.7,,,,,,,
02M114,EAST SIDE MIDDLE SCHOOL,20082009,14.8,381,,12.6,13.9,5.2,10.5,70.1,44.4,55.6,,,,,,,
02M116,PS 116 MARY LINDLEY MURRAY,20082009,18.4,782,4.3,13.2,19.4,11.6,20.6,45.7,47.2,52.8,,,,,,,
02M124,PS 124 YUNG WING,20082009,60.8,991,21.4,8.8,88.3,4.8,3.9,2.1,50.6,49.4,,,,,,,
02M126,PS 126 JACOB AUGUST RIIS,20082009,67.6,771,15.4,19.7,44.5,14.1,27.6,13.6,52.3,47.7,,,,,,,
02M130,PS 130 HERNANDO DESOTO,20082009,65.7,1074,15.9,8.1,89.5,2.1,4.5,3.6,53.7,46.3,,,,,,,
02M131,I S 131,20082009,82.6,761,29.0,21.0,77.8,6.2,14.7,1.3,58.1,41.9,,,,,,,
02M150,PS 150,20082009,10.4,186,1.6,15.6,12.4,9.1,12.9,65.1,45.7,54.3,,,,,,,
02M158,PS 158 BAYARD TAYLOR,20082009,21.1,799,2.9,17.8,11.1,5.3,16.1,64.0,50.8,49.2,,,,,,,
02M167,JHS 167 ROBERT F WAGNER,20082009,37.6,1256,3.1,15.8,31.4,14.8,22.8,30.6,53.7,46.3,,,,,,,
02M183,PS 183 ROBERT L STEVENSON,20082009,16.4,588,7.1,18.4,16.5,7.7,12.2,59.5,52.9,47.1,,,,,,,
02M198,PS 198 ISADOR E IDA STRAUS,20082009,58.4,555,7.4,16.8,11.9,24.3,46.8,13.9,51.5,48.5,,,,,,,
02M212,PS 212 MIDTOWN WEST,20082009,20.5,343,5.2,18.4,14.3,14.3,24.2,46.1,49.6,50.4,,,,,,,
02M217,PS 217/IS 217 ROOSEVELT IS.,20082009,37.2,444,8.8,14.9,23.6,36.0,21.4,17.3,47.3,52.7,,,,,,,
02M225,ELLA BAKER SCHOOL,20082009,42.8,298,3.7,11.1,5.4,38.6,44.0,10.7,53.0,47.0,,,,,,,
02M234,PS 234 INDEPENDENCE SCHOOL,20082009,6.2,817,1.2,11.6,16.2,4.9,8.1,69.8,53.0,47.0,,,,,,,
02M255,MS 255 SALK SCHOOL OF SCIENCE,20082009,15.6,408,1.0,9.6,26.0,9.8,13.2,50.7,46.6,53.4,,,,,,,
02M260,MS 260 CLINTON SCHL WRITERS &,20082009,25.0,270,0.7,18.5,9.6,17.4,24.4,47.4,34.8,65.2,,,,,,,
02M288,FOOD AND FINANCE HIGH SCHOOL,20082009,65.9,433,3.7,18.0,2.3,46.2,46.7,3.9,43.4,56.6,66.3,62.5,0.0,62.5,3.8,13.8,20.0
02M289,IS 289,20082009,28.9,298,1.0,10.7,40.3,12.1,16.1,31.2,46.3,53.7,,,,,,,
02M290,PS 290 MANHATTAN NEW SCHOOL,20082009,8.3,639,3.0,17.7,12.1,3.9,10.2,71.5,49.9,50.1,,,,,,,
02M294,HIGH SCHOOL FOR HISTORY & COMMUNICATION,20082009,62.8,353,6.8,17.3,5.1,30.6,55.2,8.2,51.8,48.2,84.4,50.0,0.0,50.0,34.4,10.4,5.2
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,20082009,67.1,389,5.7,12.1,5.4,34.2,57.6,2.6,28.5,71.5,72.8,48.1,0.0,48.1,24.7,18.5,8.6
02M298,PACE HIGH SCHOOL,20082009,42.2,410,2.2,12.7,19.8,29.8,39.5,6.1,46.6,53.4,85.2,85.2,35.7,49.6,0.0,7.0,6.1
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,20082009,53.7,384,8.1,13.5,4.4,25.0,65.1,4.9,74.7,25.3,68.7,63.9,2.4,61.4,4.8,25.3,6.0
02M303,THE FACING HISTORY SCHOOL,20082009,85.9,416,14.9,20.4,2.4,30.3,65.4,1.7,50.7,49.3,,,,,,,
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,20082009,63.5,283,2.5,12.0,3.2,44.9,45.6,5.7,43.1,56.9,,,,,,,
02M308,LOWER MANHATTAN ARTS ACADEMY,20082009,71.6,296,4.7,22.0,7.8,34.5,51.0,5.7,39.5,60.5,,,,,,,
02M312,NYC LAB MS FOR COLL. STUDIES,20082009,12.6,565,0.5,12.4,43.5,7.3,9.7,38.8,51.9,48.1,,,,,,,
02M313,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,20082009,43.6,247,5.3,16.6,3.2,38.5,47.4,9.3,51.4,48.6,29.5,15.9,0.0,15.9,13.6,56.8,9.1
02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,20082009,66.3,336,4.8,14.0,2.7,41.7,53.0,1.5,0.0,100.0,,,,,,,
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,20082009,81.5,197,3.0,33.0,4.6,20.3,44.2,29.4,47.7,52.3,,,,,,,
02M374,GRAMERCY ARTS HIGH SCHOOL,20082009,60.0,383,4.4,11.0,0.8,50.4,44.6,3.7,37.6,62.4,,,,,,,
02M376,NYCISCHOOL,20082009,60.0,100,0.0,6.0,10.0,28.0,40.0,21.0,41.0,59.0,,,,,,,
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,20082009,43.1,1491,5.5,11.3,16.9,19.5,51.0,12.3,49.4,50.6,79.5,68.0,32.0,36.0,11.4,15.8,3.7
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,20082009,13.4,439,0.7,9.3,9.6,20.5,22.1,46.0,52.6,47.4,66.0,0.0,0.0,0.0,66.0,30.0,4.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,20082009,14.0,449,0.2,4.0,3.8,28.1,18.0,47.7,26.5,73.5,1.2,0.0,0.0,0.0,1.2,97.5,1.2
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,20082009,53.6,419,0.0,1.9,58.0,7.6,10.7,23.4,38.9,61.1,97.1,95.2,62.5,32.7,1.9,1.9,1.0
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,20082009,13.6,536,0.2,14.9,28.4,9.3,14.2,46.8,48.9,51.1,97.1,90.2,55.9,34.3,6.9,2.0,1.0
